disorder_id,name,name_alt1,name_alt2,abbr,gene_sym,hgnc_gene_sym,hgnc_gene_name,ncbi_gene,omim_no,inheritance,treatability,prevalence
269,ACAT1-related Mitochondrial acetoacetyl-CoA thiolase deficiency,Beta-ketothiolase T2 deficiency,α-methylacetoacetic aciduria,NA,ACAT1,ACAT1,Acetyl-CoA acetyltransferase 1,38,203750,Autosomal Recessive,yes,1:137 120 in Australia; 1:232 000 in USA
270,ACAT2-related Acetoacetyl-CoA thiolase deficiency (cytosolic),NA,NA,CT deficiency,ACAT2,ACAT2,acetyl-CoA acetyltransferase 2,39,100678,Unknown,unknown,NA
272,PEX1-related Peroxin 1 deficiency,Peroxisome biogenesis disorder 1A (Zellweger),peroxisome biogenesis disorder 1B (neonatal adrenoleukodystrophy/infantile Refsum disease); Heimler syndrome type 1,ZSD1A,PEX1,PEX1,,NA,234580;214100;601539,Autosomal Recessive,unknown,NA
273,ACOX1-related Peroxisomal straight-chain acyl-CoA oxidase deficiency,Pseudo-neonatal adrenoleukodystrophy,NA,SCOX,ACOX1,ACOX1,acyl-CoA oxidase 1,51,264470,Autosomal Recessive,unknown,NA
274,HSD17B4-related D-Bifunctional protein deficiency,Pseudo-Zellweger syndrome (severe),Perrault syndrome type 1 (milder),DBP,HSD17B4,HSD17B4,hydroxysteroid 17-beta dehydrogenase 4,3295,261515,Autosomal Recessive,unknown,1:100 000
277,PEX7-related Peroxisomal targeting signal 2 receptor deficiency,Rhizomelic chondrodysplasia punctata type 1 (PEX deficiency),NA,RCDP1,PEX7,PEX7,peroxisomal biogenesis factor 7,5191,215100,Autosomal Recessive,unknown,1:100 000
278,GNPAT-related Glycerone 3-phosphate acyltransferase deficiency,Rhizomelic chondrodysplasia punctata type 2,NA,RCDP2,GNPAT,GNPAT,glyceronephosphate O-acyltransferase,8443,602744,Autosomal Recessive,unknown,1:100 000
279,AGPS-related Alkylglycerone 3-phosphate synthase deficiency,Rhizomelic chondrodysplasia punctata type 3,NA,RCDP3,AGPS,AGPS,alkylglycerone phosphate synthase,8540,600121,Autosomal Recessive,unknown,1:100 000
280,ABCD1-related X-linked adrenoleukodystrophy and adrenomyeloneuropathy,NA,NA,X-ALD an AMN,ABCD1,ABCD1,ATP binding cassette subfamily D member 1,215,300100,X-linked,yes,1:17000
281,PHYH-related Phytanoyl-CoA hydroxylase deficiency,Classic Refsum disease,NA,CRD,PHYH,PHYH,peroxisomal biogenesis factor 7;phytanoyl-CoA 2-hydroxylase,NA,266500,Autosomal Recessive,yes,NA
282,DNM1L-related Dynamin-like protein 1 deficiency,"Encephalopahty, lethal, due to defective mitochondrial peroxisomal fission",NA,NA,DNM1L,DNM1L,dynamin 1 like,10059,614388,"Autosomal Dominant, Autosomal Recessive",unknown,NA
284,"GLB1-related Beta-galactosidase-1 deficiency, GM1 gangliosis",NA,NA,NA,GLB1,GLB1,galactosidase beta 1,2720,253010,Autosomal Recessive,unknown,1:100 000-1:200 000
285,HEXB-related Beta-hexosaminidase subunit beta deficiency,Sandhoff disease; GM2-gangliosidosis O-variant,Hexosaminidase A and B deficiency,NA,HEXB,HEXB,hexosaminidase subunit beta,3074,268800,Autosomal Recessive,unknown,1:130 000 in Europe
286,HEXA-related Beta-hexosaminidase subunit alpha deficiency,Tay-Sachs disease; GM2-gangliosidosis B-variant,Hexosaminidase A deficiency,TSD,HEXA,HEXA,hexosaminidase subunit alpha,3073,272800,Autosomal Recessive,unknown,1:320 000; 1:3 900 in Jewish
287,GM2A-related GM2 activator protein deficiency,"GM2 gangliosidosis, AB variant",Hexosaminidase activator deficiency,Hexosaminidase activator,GM2A,GM2A,GM2 ganglioside activator,2760,272750,Autosomal Recessive,unknown,NA
288,GBA-related Glucocerebrosidase deficiency,Gaucher disease,Acid beta-glucosidase deficiency,NA,GBA,GBA,glucosylceramidase beta,2629,230800,Autosomal Recessive,yes,1:75 000; 1:850 in Ashkenazi Jewish
289,GALC-related Beta-galactosylceramidase deficiency,Krabbe disease; Globoid cell leukodystrophy,Galactocerebrosidase deficiency,GLD,GALC,GALC,galactosylceramidase,2581,245200,Autosomal Recessive,unknown,1:100 000
290,ARSA-related Arylsulfatase A deficiency,Metachromatic leukodystrophy,NA,MLD,ARSA,ARSA,arylsulfatase A,410,250100,Autosomal Recessive,yes,NA
291,PSAP-related Combinded saposin deficiency,Prosaposin deficiency,Sphingolipid activator protein deficiency,PSAPD,PSAP,PSAP,prosaposin,5660,611721,Autosomal Recessive,unknown,NA
292,PSAP-related Krabbe disease-like disorder due to saposin A deficiency,Saposin A deficiency,NA,NA,PSAP,PSAP,prosaposin,5660,611722,Autosomal Recessive,unknown,NA
293,PSAP-related Metachromatic leukodystrophy-like disorder due to saposin B deficiency,Saposin B deficiency,Cerebroside sulfatase activator deficiency,?,PSAP,PSAP,prosaposin,5660,249900,Autosomal Recessive,unknown,NA
294,PSAP-related Gaucher disease-like disorder due to saposin C deficiency,Saposin C deficiency,NA,?,PSAP,PSAP,prosaposin,5660,610539,Autosomal Recessive,unknown,NA
296,GLA-related Alpha-galactosidase A deficiency,Fabry disease,Angiokeratoma corporis diffusum,NA,GLA,GLA,galactosidase alpha,2717,301500,X-linked,yes,1:40 000
297,"ASAH1-related Acid ceramidase deficiency, inflammatory phenotype",Farber disease,"Acid ceramidase deficiency, inflammatory phenotype",?,ASAH1,ASAH1,N-acylsphingosine amidohydrolase 1,427,228000,Autosomal Recessive,yes,NA
298,SMPD1-related Acid sphingomyelinase deficiency,Niemann-Pick type A (severe); Niemann-Pick type B (milder),NA,NA,SMPD1,SMPD1,sphingomyelin phosphodiesterase 1,6609,257200;607616,Autosomal Recessive,unknown,NA
299,GNPTAB-related UDP-N-acetylglucosamine-1-phosphotransferase subunit alpha/beta deficiency,Mucolipidosis II alpha-beta,I-cell disease,NA,GNPTAB,GNPTAB,N-acetylglucosamine-1-phosphate transferase alpha and beta subunits,79158,252500,Autosomal Recessive,unknown,NA
300,GNPTG-related UDP-N-acetylglucosamine-1-phosphotransferase subunit gamma deficiency (CDG),GNPTG-CDG,Mucolipidosis III gamma; Pseudo-Hurler polydystrophy,?,GNPTG,GNPTG,N-acetylglucosamine-1-phosphate transferase gamma subunit,84572,252605,Autosomal Recessive,unknown,NA
301,SUMF1-related Formyl-glycine generating enzyme deficiency,Multiple sulfatase deficiency,Mucosulfatidosis,MSD,SUMF1,SUMF1,sulfatase modifying factor 1,285362,272200,Autosomal Recessive,unknown,NA
302,LIPA-related Lysosomal acid lipase deficiency,Wolman disease,Cholesteryl ester storage disease (CESD),NA,LIPA,LIPA,"lipase A, lysosomal acid type",3988,278000,Autosomal Recessive,unknown,NA
303,NPC1-related Niemann-Pick disease type C1,NA,NA,NPC1,NPC1,NPC1,NPC intracellular cholesterol transporter 1,4864,257220,Autosomal Recessive,yes,1:150 000
304,NPC2-related Niemann-Pick disease type C2,NA,NA,NPC2,NPC2,NPC2,NPC intracellular cholesterol transporter 2,10577,607625,Autosomal Recessive,unknown,NA
305,PPT1-related Palmitoyl-protein thioesterase 1 deficiency,"Ceroid lipofuscinosis, neuronal, 1",Santavuori-Haltia disease,CLN1,PPT1,PPT1,palmitoyl-protein thioesterase 1,5538,256730,Autosomal Recessive,unknown,1:20 000 Finnish
306,TPP1-related Tripeptidyl-peptidase 1 deficiency,"Ceroid lipofuscinosis, neuronal, 2",Jansky-Bielschowsky disease (severe); autosomal recessive spinocerebellar ataxia type 7 (milder),CLN2,TPP1,TPP1,tripeptidyl peptidase 1,1200,204500,Autosomal Recessive,unknown,NA
307,CLN3-related Lysosomal transmembrane protein deficiency,Batten Spielmeyer-Vogt disease,NA,CLN3,CLN3,CLN3,"CLN3, battenin",1201,204200,Autosomal Recessive,unknown,1:21 000 Finnish
308,CLN6-related Kufs disease,NA,NA,CLN4A,CLN6,CLN6,"ceroid-lipofuscinosis, neuronal 6, late infantile, variant",54982,204300,Autosomal Recessive,unknown,NA
309,DNAJC5-related Kufs disease,NA,"Ceroid lipofuscinosis, neuronal, Parry type",CLN4B,DNAJC5,DNAJC5,DnaJ heat shock protein family (Hsp40) member C5,80331,162350,Autosomal Dominant,unknown,NA
310,CLN5-related Lysosomal protein deficiency,NA,CLN5 Finnish variant,CLN5,CLN5,CLN5,"ceroid-lipofuscinosis, neuronal 5",1203,256731,Autosomal Recessive,unknown,NA
311,CLN6-related Lysosomal protein deficiency,CLN6 late infantile variant,NA,CLN6,CLN6,CLN6,"ceroid-lipofuscinosis, neuronal 6, late infantile, variant",54982,601780,Autosomal Recessive,unknown,NA
312,MFSD8-related CLN7 Turkish variant,NA,Macular dystrophy with central cone involvement (milder),CLN7,MFSD8,MFSD8,major facilitator superfamily domain containing 8,256471,610951,Autosomal Recessive,unknown,NA
313,CLN8-related Lysosomal protein deficiency,"CLN8 disease, late infantile variant",NA,CLN8,CLN8,CLN8,"ceroid-lipofuscinosis, neuronal 8",2055,600143,Autosomal Recessive,unknown,NA
315,CTSD-related Cathepsin D deficiency,"Ceroid lipofuscinosis, neuronal, cathepsin D-deficient","Ceroid lipofuscinosis, neuronal, 10",CLN10,CTSD,CTSD,cathepsin D,1509,610127,Autosomal Recessive,unknown,NA
316,"MMADHC-related Methylmalonic aciduria and homocystinuria, cblD type","Methylmalonic aciduria and homocystinuria, cblD type",NA,cblD-MMA/HC,MMADHC,MMADHC,"methylmalonic aciduria and homocystinuria, cblD type",27249,277410,Autosomal Recessive,yes,NA
317,MSMO1-related Sterol C4-methyloxidase deficiency,NA,NA,SC4MOL,MSMO1,MSMO1,methylsterol monooxygenase 1,6307,607545,Autosomal Recessive,yes,NA
318,CYP51A1-related Lanosterol demethylase deficiency,CYP51 deficiency,"Cytochrome P450, family 51 deficiency",CYP51,CYP51A1,CYP51A1,,NA,601637,Autosomal Recessive,unknown,NA
319,CTSA-related Cathepsin A deficiency,Galactosialidosis,Goldberg syndrome,GSL,CTSA,CTSA,cathepsin A,5476,256540,Autosomal Recessive,unknown,0.02-1.0*
320,SCARB2-related Glucocerebrosidase receptor deficiency,Myoclonus-neuropathy syndrome,Action myoclonus-renal failure syndrome,AMRF,SCARB2,SCARB2,scavenger receptor class B member 2,950,254900,Autosomal Recessive,unknown,NA
321,PMM2-related Phosphomannomutase 2 deficiency (CDG),PMM2-CDG,CDG-Ia,PMM2-CDG,PMM2,PMM2,phosphomannomutase 2,5373,601785,Autosomal Recessive,unknown,NA
322,MPI-related Phosphomannose isomerase deficiency (CDG),MPI-CDG,CDG-Ib,MPI-CDG,MPI,MPI,mannose phosphate isomerase,4351,602579,Autosomal Recessive,yes,NA
323,ALG6-related Glucosyltransferase 1 deficiency (CDG),ALG6-CDG,CDG-Ic,ALG6-CDG,ALG6,ALG6,"ALG6, alpha-1,3-glucosyltransferase",29929,603147,Autosomal Recessive,unknown,NA
324,ALG3-related Mannosyltransferase 6 deficiency (CDG),ALG3-CDG,CDG-Id,ALG3-CDG,ALG3,ALG3,"ALG3, alpha-1,3- mannosyltransferase",10195,601110,Autosomal Recessive,unknown,NA
325,ALG12-related Mannosyltransferase 8 deficiency (CDG),ALG12-CDG,CDG-Ig,ALG12-CDG,ALG12,ALG12,"ALG12, alpha-1,6-mannosyltransferase",79087,607143,Autosomal Recessive,unknown,NA
326,ALG8-related Glucosyltransferase 2 deficiency (CDG),ALG8-CDG,CDH-Ih,ALG8-CDG,ALG8,ALG8,"ALG8, alpha-1,3-glucosyltransferase",79053,608104,Autosomal Recessive,unknown,NA
327,ALG2-related Mannosyltransferase 2 deficiency (CDG),ALG2-CDG,CDG-Ii,ALG2-CDG,ALG2,ALG2,"ALG2, alpha-1,3/1,6-mannosyltransferase",85365,607906,Autosomal Recessive,unknown,NA
328,DPAGT1-related UDP-GlcNAc:Dol-P-GlcNac-P transferase deficiency (CDG),DPAGT1-CDG,CDG-Ij,DPAGT1-CDG,DPAGT1,DPAGT1,dolichyl-phosphate N-acetylglucosaminephosphotransferase 1,1798,608093,Autosomal Recessive,unknown,NA
329,ALG1-related Mannosyltransferase 1 deficiency (CDG),ALG1-CDG,CDG-Ik,ALG1-CDG,ALG1,ALG1,"ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase",100507589,608540,Autosomal Recessive,unknown,NA
330,ALG9-related Mannosyltransferase 7-9 deficiency (CDG),ALG9-CDG,CDG-IL,ALG9-CDG,ALG9,ALG9,ALG9,56052,608776,Autosomal Recessive,unknown,NA
331,RFT1-related Flippase of Man5GlcNAc2-PP-Dol deficiency (CDG),RFT1-CDG,Lipid-linked oligosaccharide flippase deficiency,CDG-In,RFT1,RFT1,RFT1 homolog,91869,612015,Autosomal Recessive,unknown,NA
332,MGAT2-related N-acetylglucosaminyltransferase 2 deficiency (CDG),MGAT2-CDG,CDG-IIa,MGAT2-CDG,MGAT2,MGAT2,"MGAT2 mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase",4247,212066,Autosomal Recessive,unknown,NA
333,GCS1-related Glucosidase 1 deficiency (CDG),GCS1-CDG,CDG-IIb,GCS1-CDG,MOGS,MOGS,mannosyl-oligosaccharide glucosidase,7841,606056,Autosomal Recessive,unknown,NA
334,TUSC3-related Oligosaccharyltransferase subunit tusc 3 deficiency (CDG),TUSC3-CDG,NA,TUSC3-CDG,TUSC3,TUSC3,tumor suppressor candidate 3,7991,611093,Autosomal Recessive,unknown,NA
335,SRD5A3-related Steroid 5 alpha-reductase 3 deficiency (CDG),SRD5A3-CDG,"Ocular coloboma with ichthyosis, brain malformations and endocrine abnormalities; CDG-1q",SRD5A3-CDG,SRD5A3,SRD5A3,steroid 5 alpha-reductase 3,79644,612379,Autosomal Recessive,unknown,NA
336,DPM1-related GDP-Man:Dol-P mannosyltransferase subunit 1 deficiency (CDG),DPM1-CDG,CDG Ie,NA,DPM1,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic",8813,608799,Autosomal Recessive,unknown,NA
337,MPDU1-related Dol-P-Man utilization 1 deficiency (CDG),MPDU1-CDG,CDG-If,MPDU1-CDG,MPDU1,MPDU1,mannose-P-dolichol utilization defect 1,9526,609180,Autosomal Recessive,unknown,NA
338,"B4GALT1-related Beta-1,4-galactosyltransferase 1 deficiency (CDG)",B4GALT1-CDG,CDG-IId,B4GALT1-CDG,B4GALT1,B4GALT1,"beta-1,4-galactosyltransferase 1",2683,607091,Autosomal Recessive,unknown,NA
339,GNE-related UDP-GlcNAc epimerase-kinase deficiency (CDG),GNE-CDG,Hereditary inclusion body myopathy 2; Distal myopathy with rimmed vacuoles (DMRV),GNE-CDG,GNE,GNE,glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase,10020,600737;605820,Autosomal Recessive,unknown,1:500 in Jewish; 1:1 000 000 in Japan
340,SLC35A1-related CMP-sialic acid transporter deficiency (CDG),SLC35A1-CDG,CDG-IIf,SLC35A1-CDG,SLC35A1,SLC35A1,solute carrier family 35 member A1,10559,603585,Autosomal Recessive,unknown,NA
341,SLC35C1-related GDP-fucose transporter deficiency (CDG),SLC35C1-CDG,NA,SLC35C1-CDG,SLC35C1,SLC35C1,solute carrier family 35 member C1,55343,266265,Autosomal Recessive,yes,NA
342,DOLK-related Dolichol kinase deficiency (CDG),DOLK-CDG,NA,DK1-CDG,DOLK,DOLK,dolichol kinase,22845,610768,Autosomal Recessive,unknown,NA
343,COG7-related Conserved oligomeric Golgi complex subunit 7 deficiency (CDG),CDG-IIe,NA,COG7-CDG,COG7,COG7,component of oligomeric golgi complex 7,91949,608779,Autosomal Recessive,unknown,NA
344,COG1-related Conserved oligomeric Golgi complex subunit 1 deficiency (CDG),CDG-IIg,NA,"COG1-CDG, CDG-IIg",COG1,COG1,component of oligomeric golgi complex 1,9382,611209,Autosomal Recessive,unknown,NA
345,COG8-related Conserved oligomeric Golgi complex subunit 8 deficiency (CDG),CDG-IIh,NA,COG8-CDG,COG8,COG8,component of oligomeric golgi complex 8,84342,611182,Autosomal Recessive,unknown,NA
346,"ATP6VOA2-related Cutis laxa, type IIA (CDG)",ATP6VOA2-CDG,Wrinkly skin syndrome,ATP6V0A2-CDG,ATP6V0A2,ATP6V0A2,ATPase H+ transporting V0 subunit a2,23545,219200;278250,Autosomal Recessive,unknown,NA
347,EXT1-related Exostosin 1 deficiency (CDG),EXT1-CDG,Multiple cartilaginous exostoses type I,EXT1-CDG,EXT1,EXT1,exostosin glycosyltransferase 1,2131,133700,Autosomal Dominant,unknown,NA
348,EXT2-related Exostosin 2 deficiency (CDG),EXT2-CDG,Multiple cartilaginous exostoses type II,EXT2-CDG,EXT2,EXT2,exostosin glycosyltransferase 2,2132,133701,Autosomal Dominant,unknown,1:50 000
349,"B4GALT7-related Beta-1,4-galactosyltransferase 7 deficiency (CDG)",B4GALT7-CDG,Ehlers-Danlos syndrome with short stature and limb anomalies,B4GALT7-CDG,B4GALT7,B4GALT7,"beta-1,4-galactosyltransferase 7",11285,130070,Autosomal Recessive,unknown,NA
350,GALTNT3-related Polypeptide N-acetylgalactosaminyltransferase 3 deficiency (CDG),GALTNT3-CDG,Hyperphosphatemic familial tumoral calcinosis,GALTNT3-CDG,GALNT3,GALNT3,polypeptide N-acetylgalactosaminyltransferase 3,2591,211900,Autosomal Recessive,unknown,NA
351,SLC35D1-related UDP-glucuronic acid-UDP-N-acetylgalactosamine dual transporter deficiency (CDG),SLC35D1-CDG,Schneckenbecken dysplasia,SLC35D1-CDG,SLC35D1,SLC35D1,solute carrier family 35 member D1,23169,269250,Autosomal Recessive,unknown,NA
352,POMT1-related O-Mannosyltransferase 1 deficiency (CDG),POMT1-CDG,"Muscular dystrophy-dystroglycanopathy type A1, -type B1, -type C1",POMT1-CDG,POMT1,POMT1,protein O-mannosyltransferase 1,10585,236670;613555;609308,Autosomal Recessive,unknown,NA
353,POMT2-related O-Mannosyltransferase 2 deficiency (CDG),POMT2-CDG,"Muscular dystrophy-dystroglycanopathy type A2, -type B2, -type C2",POMT2-CDG,POMT2,POMT2,protein O-mannosyltransferase 2,29954,613150;613156;613158,Autosomal Recessive,unknown,NA
354,"POMGNT1-related O-Mannose beta-1,2-N-acetyglucosaminyltransferase deficiency (CDG)",POMGNT1-CDG,"Muscular dystrophy-dystroglycanopathy type A3, -type B3, -type C3",POMGNT1-CDG,POMGNT1,POMGNT1,"protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)",55624,253280;613151;613157,Autosomal Recessive,unknown,NA
358,"LFNG-rerlated O-Fucose-specific beta-1,3-N-acetylglucosaminyltransferase deficiency (CDG)",LFNG-CDG,Spondylocostal dysostosis type 3,LFNG-CDG,LFNG,LFNG,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,3955,609813,Autosomal Recessive,unknown,NA
359,"B3GALTL-related O-Fucose-specific beta-1,3-N-glucosyltransferase deficiency (CDG)",B3GALTL-CDG,Peters plus syndrome,B3GALTL-CDG,B3GLCT,B3GLCT,beta 3-glucosyltransferase,145173,261540,Autosomal Recessive,unknown,NA
360,"ST3GAL5-related Lactosylceramide alpha-2,3-sialyltransferase deficiency (CDG)",ST3GAL5-CDG,Amish infantile epilepsy,ST3GAL5-CDG,ST3GAL5,ST3GAL5,"ST3 beta-galactoside alpha-2,3-sialyltransferase 5",8869,609056,Autosomal Recessive,unknown,NA
361,"PIGM-related Phosphatidylinositolglycan, class M, deficiency (CDG)",PIGM-CDG,Glycosylphosphatidylinositol deficiency,PIGM-CDG,PIGM,PIGM,phosphatidylinositol glycan anchor biosynthesis class M,93183,610293,Autosomal Recessive,unknown,NA
362,PRPS1-related Phosphoribosyl pyrophosphate synthetase 1 superactivity,NA,NA,PRPS1,PRPS1,PRPS1,phosphoribosyl pyrophosphate synthetase 1,5631,300661,X-linked-R (XLR),yes,NA
363,IMPDH1-related Inosine-5'-monophosphate dehydrogenase deficiency,"""Retinitis pigmentosa type 10","Leber congenital amaurosis type 11""",PR10; LCA11,IMPDH1,IMPDH1,inosine monophosphate dehydrogenase 1,3614,146690,Autosomal Dominant,unknown,NA
364,XDH-related Xanthine oxidase deficiency,Xanthinuria type I,NA,XDH,XDH,XDH,xanthine dehydrogenase,7498,278300;607633,Autosomal Recessive,yes,NA
367,LDLR-related Familial hypercholesterolemia heterozygous (LDLR),Hyperlipoproteinemia type 2A,NA,HeFH,LDLR,LDLR,low density lipoprotein receptor,3949,143890;606945,Autosomal Dominant,yes,1:500 heterozygotes; 1:1 000 000 homozygotes
368,APOB-related Familial defective apolipoprotein B,Autosomal dominant hypercholesterolemia type 2 (binding-defective apo B),Autosomal dominant hypercholesterolemia type B,HCHOLA2,APOB,APOB,apolipoprotein B,338,144010,Autosomal Dominant,yes,NA
369,PCSK9-related Proprotein convertase superactivity,Autosomal dominant hypercholesterolemia type 3 (PCSK9 gain-of-function),NA,HCHOLA3,PCSK9,PCSK9,proprotein convertase subtilisin/kexin type 9,255738,603776;607786,Autosomal Dominant,unknown,NA
370,LDLRAP1-related Autosomal recessive hypercholesterolemia (ARH),NA,NA,ARH1,LDLRAP1,LDLRAP1,low density lipoprotein receptor adaptor protein 1,26119,603813;605747,Autosomal Recessive,unknown,NA
371,MTTP-related Microsomal triglyceride transfer protein deficiency,Abetalipoproteinemia,Bassen-Kornzweig syndrome,ABL,MTTP,MTTP,microsomal triglyceride transfer protein,4547,200100;157147,Autosomal Recessive,yes,1:1 000 000
372,APOB-related Apolipoprotein B deficiency,Familial hypobetalipoproteinemia type 1,Normotriglyceridemic hypobetalipoproteinemia,HBL,APOB,APOB,apolipoprotein B,338,144010;605019,Autosomal Recessive,unknown,NA
373,PCSK9-related  Proprotein convertase deficiency with low LDL,Hypobetalipoproteinemia (PCSK9 loss-of-function),NA,PCSK9 deficiency,PCSK9,PCSK9,proprotein convertase subtilisin/kexin type 9,255738,607786;613589,Autosomal Recessive,unknown,NA
374,ANGPTL3-related Angiopoietin-like 3 deficiency,Familial hypobetalipoproteinemia type 2,Combined familial hypolipidemia,FCH,ANGPTL3,ANGPTL3,angiopoietin like 3,27329,605019;604774,Autosomal Recessive,unknown,NA
375,CETP-related Cholesteryl ester transfer protein deficiency,Familial hyperalphalipoproteinemia type 1,NA,CETP deficiency,CETP,CETP,cholesteryl ester transfer protein,1071,607322;143470,Autosomal Dominant,unknown,NA
376,LIPC-related Hepatic lipase deficiency,NA,NA,HL deficiency,LIPC,LIPC,"lipase C, hepatic type",3990,612797;614025,Autosomal Recessive,unknown,NA
377,SCARB1-related Scavenger receptor B1 deficiency,SRB1 deficiency,NA,SRB1 deficiency,SCARB1,SCARB1,scavenger receptor class B member 1,949,601040;610762,"Autosomal Dominant, Autosomal Recessive",unknown,NA
378,ABCA1-related Tangier disease,Primary familial hypoalphalipoproteinemia,NA,"TD, FHA",ABCA1,ABCA1,ATP binding cassette subfamily A member 1,19,600046;205400,Autosomal Recessive,unknown,NA
379,APOA1-related Apolipoprotein A-I deficiency,Hypoalphalipoproteinemia,NA,NA,APOA1,APOA1,apolipoprotein A1,335,107680,Autosomal Dominant,unknown,NA
380,LCAT-related Familial lecithin cholesterol acyl transferase deficiency,Lecithin cholesterol acyl transferase deficiency (LCAT),NA,LCAT deficiency,LCAT,LCAT,lecithin-cholesterol acyltransferase,3931,606967;245900,Autosomal Recessive,unknown,NA
381,LPL-related Lipoprotein lipase deficiency,Hyperlipoproteinemia type 1,familial hyperchylomicronemia,HLP type 1,LPL,LPL,lipoprotein lipase,4023,609708;238600,Autosomal Recessive,yes,NA
382,CLN8-related Northern epilepsy variant,"CLN8 disease, progressive epilepsy with mental retardation",NA,CLN8-EPMR,CLN8,CLN8,"ceroid-lipofuscinosis, neuronal 8",2055,610003,Autosomal Recessive,unknown,NA
383,ALG11-related Mannosyltransferase 4-5 deficiency (CDG),ALG11-CDG,CDG-Ip,ALG11-CDG,ALG11,ALG11,"ALG11, alpha-1,2-mannosyltransferase",440138,613661,Autosomal Recessive,unknown,NA
384,MAGT1-related Magnesium transporter 1 deficiency (CDG),MAGT1-CDG,"Immunodeficiency, X-linked, with magnesium defect, Epstein-Barr virus infection and neoplasia",MAGT1-CDG,MAGT1,MAGT1,magnesium transporter 1,84061,300716;300853,X-linked,unknown,NA
385,CHSY1-related Chondroitin sulfate synthase 1 deficiency (CDG),CHSY1-CDG,Tentamy preaxial brachydactyly syndrome,CHSY1-CDG,CHSY1,CHSY1,chondroitin sulfate synthase 1,22856,605282,Autosomal Recessive,unknown,NA
386,"PIGY-related Phosphatidylinositolglycan, class V, deficiency (CDG)",PIGY-CDG,Hyperphosphatasia-mental retardation syndrome 1,PIGY-CDG,PIGY,PIGY,phosphatidylinositol glycan anchor biosynthesis class V,55650,239300,Autosomal Recessive,unknown,NA
387,DPM3-related GDP-Man:Dol-P mannosyltransferase 3 deficiency (CDG),DPM3-CDG,CDG-Io,DPM3-CDG,DPM3,DPM3,dolichyl-phosphate mannosyltransferase subunit 3,54344,612937,Autosomal Recessive,unknown,NA
388,COG5-related Conserved oligomeric Golgi complex subunit 5 deficiency (CDG),NA,CDG-IIi,"COG5-CDG, CDG-IIi",COG5,COG5,component of oligomeric golgi complex 5,10466,613612,Autosomal Recessive,unknown,NA
389,COG6-related Component of COG complex 6 deficiency (CDG),NA,COG6-CDG; Shaheen syndrome,COG6-CDG,COG6,COG6,component of oligomeric golgi complex 6,57511,606977;614576,Autosomal Recessive,unknown,NA
390,TRIP11-related Achondrogenesis type IA (CDG),Husron-Harris Type,NA,GMAP210-CDG,TRIP11,TRIP11,thyroid hormone receptor interactor 11,9321,200600,Autosomal Recessive,unknown,NA
391,SEC23B-related Congenital dyserythropoietic anemia type 2 (CDG),NA,NA,SEC23B-CDG,SEC23B,SEC23B,"Sec23 homolog B, coat complex II component",10483,224100,Autosomal Recessive,unknown,NA
392,SLC19A3-related Thiamine transporter 2 deficiency,Wernicke like encephalopathy and BRBG (SLC19A3),Biotin and thiamine basal ganglia disease,SLC19A3,SLC19A3,SLC19A3,solute carrier family 19 member 3,80704,606152,Autosomal Recessive,yes,NA
393,SLC25A19-related Mitochondrial thiamine pyrophosphate transporter deficiency,Mitochondrial thiamine pyrophosphate carrier deficiency,Amish microcephaly; Bilateral striatal necrosis,SLC25A19,SLC25A19,SLC25A19,solute carrier family 25 member 19,60386,606521,Autosomal Recessive,unknown,NA
395,"ALDH18A1-related Delta-1-pyrroline-5-carboxylate synthase deficiency, cutis laxa phenotype",Autosomal recessive cutis laxa type 3A,De Barsy syndrome ALDH18A1-associated; Cutis laxa autosomal recessive 3A; Cutis laxa autosomal dominant 3,"ARCL3A, ADCL3, P5CSD",ALDH18A1,ALDH18A1,aldehyde dehydrogenase 18 family member A1,5832,219150,"Autosomal Dominant, Autosomal Recessive",unknown,<1:1 000 000
397,NOGENE-related Pearson Syndrome,Pearson marrow-pancreas syndrome,sideroblastic anemia with marrow cell vacuolization and exocrine pancreatic dysfunction,NA,NA,NA,,NA,557000,NA,unknown,NA
398,NOGENE-related Kearns Sayre Syndrome,NA,NA,KSS,NA,NA,,NA,530000,NA,unknown,NA
402,"PRICKLE3-related Leber Hereditary Optic Neuropathy, LHON",NA,NA,LHON,PRICKLE3,PRICKLE3,,NA,535000,X-linked-D (XLD),unknown,1:30000 Northern Europe
406,MT-TT-related Mitochondrial tRNA(Thr) deficiency,Lethal Infantile Mitochondrial Myopathy,NA,LIMM,MT-TT,MT-TT,,NA,551000,Mitochondrial,unknown,NA
407,MT-TE-related Mitochondrial Myopathy with Diabetes Mellitus,NA,NA,NA,MT-TE,MT-TE,,NA,500002,Mitochondrial,unknown,NA
408,MT-TE-related Mitochondrial tRNA(Glu) deficiency,Mitochondrial Myopathy with Reversible cytochrome c oxidase (COX) Deficiency,NA,COX,MT-TE,MT-TE,,NA,500009,Mitochondrial,unknown,NA
